category,name,price
Wash + Starch,Shirt White/Color,45
Wash + Starch,Pant White/Color,50
Wash + Starch,Dhoti White/Color,50
Wash + Iron,Shirt,45
Wash + Iron,Pant,45
Wash + Iron,Dhoti,45
Wash + Iron,T-shirt,45
Wash + Iron,Jeans,45
Dry Cleaning,Shirt / T-Shirt,90
Dry Cleaning,Pant / Shirts,90
Dry Cleaning,Dhoti,90
Dry Cleaning,Shirt / Dhothi / Pant (Starch),120
Dry Cleaning,Silk Towel,100
Dry Cleaning,Silk Shirt / Silk Dhothi,120
Dry Cleaning,Coat/Blazer,255
Dry Cleaning,Waist Coat,120
Dry Cleaning,Kurta Plain,120
Dry Cleaning,Sherwani,400+
Dry Cleaning,Lehenga,550+
Dry Cleaning,Shirt / T-Shirt,75
Dry Cleaning,Pant / Shorts,75
Dry Cleaning,Dhoti,75
Dry Cleaning,Frock,100+
Dry Cleaning,Skirt,100+
Dry Cleaning,Coat/Blazer,200
Dry Cleaning,Waist Coat,100
Household Items,Bed Sheet / Spread S/D,90/140+
Household Items,Blanket / Quilt S/D,325/425+
Household Items,Jackets,325+
Household Items,Window Curtains Per panel,120
Household Items,Door Curtains Per panel,160
Household Items,Window Curtains with Lining Per panel,160
Household Items,Door Curtains with Lining Per panel,200
Household Items,Carpets Per Sqft,35
Household Items,Bath Towel,90+
Household Items,Face Towel,50+
Household Items,Pillows - Recron,150+
Household Items,Pillow Cover,40
Household Items,Cushion Cover,60+
Household Items,Bags,150+
Household Items,Toys,100+
Household Items,Sports Shoes / Sneakers,300
Household Items,Leather Shoe,400
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
