Category,Item Name,Type,Rate (₹),Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Service Category,Item Name,Rate (INR)"
Wash + Starch,Shirt White/Color,WASH + STARCH,45,,,,,
Wash + Starch,Pant White/Color,WASH + STARCH,50,,,,,
Wash + Starch,Dhoti White/Color,WASH + STARCH,50,,,,,
Wash + Iron,Shirt,WASH + IRON,45,,,,,
Wash + Iron,Pant,WASH + IRON,45,,,,,
Wash + Iron,Dhoti,WASH + IRON,45,,,,,
Wash + Iron,T-shirt,WASH + IRON,45,,,,,
Wash + Iron,Jeans,WASH + IRON,45,,,,,
Dry Cleaning,Shirt / T-Shirt,,90,,,,,
Dry Cleaning,Pant / Shirts,,90,,,,,
Dry Cleaning,Dhoti,,90,,,,,
Dry Cleaning,Shirt / Dhothi / Pant (Starch),,120,,,,,
Dry Cleaning,Silk Towel,,100,,,,,
Dry Cleaning,Silk Shirt / Silk Dhothi,,120,,,, ,
Dry Cleaning,Coat/Blazer,,255,,,,,
Dry Cleaning,Waist Coat,,120,,,,,
Dry Cleaning,Kurta Plain,,120,,,,,
Dry Cleaning,Sherwani,,400+,400+,,,,
Dry Cleaning,Lehenga,,550+,550+,,,,
Dry Cleaning,Shirt / T-Shirt,,75,,,,,
Dry Cleaning,Pant / Shorts,,75,,,,,
Dry Cleaning,Dhoti,,75,,,,,
Dry Cleaning,Frock,,100+,100+,,,,
Dry Cleaning,Skirt,,100+,100+,,,,
Dry Cleaning,Coat/Blazer,,200,,,,,
Dry Cleaning,Waist Coat,,100,,,,,
Household Items,Bed Sheet / Spread S/D,,90/140+,90/140+,,,,
Household Items,Blanket / Quilt S/D,,325/425+,325/425+,,,,
Household Items,Jackets,,325+,325+,,,,
Household Items,Window Curtains Per panel,,120,,,,,
Household Items,Door Curtains Per panel,,160,,,,,
Household Items,Window Curtains with Lining Per panel,,160,,,,,
Household Items,Door Curtains with Lining Per panel,,200,,,,,
Household Items,Carpets Per Sqft,,35,,,,,
Household Items,Bath Towel,,90+,90+,,,,
Household Items,Face Towel,,50+,50+,,,,
Household Items,Pillows - Recron,,150+,150+,,,,
Household Items,Pillow Cover,,40,,,,,
Household Items,Cushion Cover,,60+,60+,,,,
Household Items,Bags,,150+,150+,,,,
Household Items,Toys,,100+,100+,,,,
Household Items,Sports Shoes / Sneakers,,300,,,,,
Household Items,Leather Shoe,,400,,,,,
,,,,,,,,"WASH + STARCH,SHIRT White/Color,45"
,,,,,,,,"WASH + STARCH,PANT White/Color,50"
,,,,,,,,"WASH + STARCH,Dhoti White/Color,50"
,,,,,,,,"WASH + IRON,SHIRT,45"
,,,,,,,,"WASH + IRON,PANT,45"
,,,,,,,,"WASH + IRON,Dhoti,45"
,,,,,,,,"WASH + IRON,T-shirt,45"
,,,,,,,,"WASH + IRON,Jeans,45"
,,,,,,,,"DRY CLEAN (Standard),Shirt / T- Shirt,90"
,,,,,,,,"DRY CLEAN (Standard),Pant / Shorts,90"
,,,,,,,,"DRY CLEAN (Standard),Dhoti,90"
,,,,,,,,"DRY CLEAN (Standard),Shirt / Dhoti / Pant (Starch),120"
,,,,,,,,"DRY CLEAN (Standard),Silk Towel,100"
,,,,,,,,"DRY CLEAN (Standard),Silk Shirt / Silk Dhoti,120"
,,,,,,,,"DRY CLEAN (Standard),Coat/Blazer,255"
,,,,,,,,"DRY CLEAN (Standard),Waist Coat,120"
,,,,,,,,"DRY CLEAN (Standard),Kurta Plain,120"
,,,,,,,,"DRY CLEAN (Standard),Sherwani,400+"
,,,,,,,,"DRY CLEAN (Standard),Lehenga,550+"
,,,,,,,,"DRY CLEAN (Small/Kids Wear),Shirt / T- Shirt,75"
,,,,,,,,"DRY CLEAN (Small/Kids Wear),Pant / Shorts,75"
,,,,,,,,"DRY CLEAN (Small/Kids Wear),Dhoti,75"
,,,,,,,,"DRY CLEAN (Small/Kids Wear),Frock,100+"
,,,,,,,,"DRY CLEAN (Small/Kids Wear),Skirt,100+"
,,,,,,,,"DRY CLEAN (Small/Kids Wear),Coat/Blazer,200"
,,,,,,,,"DRY CLEAN (Small/Kids Wear),Waist Coat,100"
,,,,,,,,"DRY CLEAN (Household/Special),Bed Sheet /Spread S/D,90/140+"
,,,,,,,,"DRY CLEAN (Household/Special),Blanket/Quilt S/D,325/425+"
,,,,,,,,"DRY CLEAN (Household/Special),Jackets,325+"
,,,,,,,,"DRY CLEAN (Household/Special),Window Curtains Per panel,120"
,,,,,,,,"DRY CLEAN (Household/Special),Door Curtains Per panel,160"
,,,,,,,,"DRY CLEAN (Household/Special),Window Curtains with Lining Per panel,160"
,,,,,,,,"DRY CLEAN (Household/Special),Door Curtains with Lining Per panel,200"
,,,,,,,,"DRY CLEAN (Household/Special),Carpets Per Sqft,35"
,,,,,,,,"DRY CLEAN (Household/Special),Bath Towel,90+"
,,,,,,,,"DRY CLEAN (Household/Special),Face Towel,50+"
,,,,,,,,"DRY CLEAN (Household/Special),Pillows - Recron,150+"
,,,,,,,,"DRY CLEAN (Household/Special),Pillow Cover,40"
,,,,,,,,"DRY CLEAN (Household/Special),Cushion Cover,60+"
,,,,,,,,"DRY CLEAN (Household/Special),Bags,150+"
,,,,,,,,"DRY CLEAN (Household/Special),Toys,100+"
,,,,,,,,"DRY CLEAN (Household/Special),Sports Shoes / Sneakers,300"
,,,,,,,,"DRY CLEAN (Household/Special),Leather Shoe,400"
